,date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
22281,20210101,8.0,0.0,16.0,5.2,1.4,0.0,0.6,101170.0,0.0
22282,20210102,7.0,1.5,17.0,5.9,2.6,0.7,0.0,101600.0,0.0
22283,20210103,8.0,0.6,32.0,5.4,3.3,2.6,0.2,101760.0,0.0
22284,20210104,8.0,0.0,27.0,4.6,4.0,1.8,0.0,101950.0,0.0
22285,20210105,8.0,0.0,17.0,6.1,3.2,2.7,0.4,102010.0,0.0
22286,20210106,6.0,1.0,27.0,2.3,4.4,-0.3,0.0,101950.0,0.0
22287,20210107,6.0,3.2,34.0,2.7,1.0,-2.1,0.0,101860.0,0.0
22288,20210108,8.0,0.0,46.0,2.7,0.3,-0.5,0.0,101860.0,0.0
22289,20210109,4.0,2.1,21.0,6.2,1.1,-2.1,0.0,102640.0,0.0
22290,20210110,8.0,0.0,38.0,9.4,2.0,-0.7,0.0,102610.0,0.0
22291,20210111,8.0,0.0,22.0,8.9,4.3,5.9,6.0,101790.0,0.0
22292,20210112,8.0,0.0,35.0,10.0,7.4,0.4,0.6,101420.0,0.0
22293,20210113,8.0,0.0,24.0,6.0,5.2,4.3,11.8,101840.0,0.0
22294,20210114,8.0,0.0,14.0,4.1,5.2,0.0,4.0,101670.0,0.0
22295,20210115,5.0,0.5,15.0,8.4,2.0,-0.8,4.8,102980.0,0.0
22296,20210116,8.0,0.5,34.0,8.2,3.8,2.4,1.0,102000.0,0.0
22297,20210117,6.0,2.5,25.0,11.5,5.3,0.7,0.0,102360.0,0.0
22298,20210118,5.0,0.0,52.0,12.1,6.1,2.9,2.0,102130.0,0.0
22299,20210119,8.0,0.1,31.0,10.1,7.5,9.6,1.0,100410.0,0.0
22300,20210120,8.0,0.0,21.0,8.3,9.8,3.6,5.8,98740.0,0.0
22301,20210121,5.0,1.7,15.0,8.2,6.0,-0.6,0.0,98470.0,0.0
22302,20210122,3.0,4.7,48.0,4.8,3.8,-0.9,1.2,99220.0,0.0
22303,20210123,5.0,1.9,63.0,1.5,1.9,-3.5,0.0,99570.0,0.0
22304,20210124,7.0,0.0,44.0,5.1,-1.0,-2.7,7.6,99710.0,0.0
22305,20210125,2.0,6.2,29.0,7.6,1.2,-3.0,0.2,100970.0,2.0
22306,20210126,7.0,0.0,68.0,11.2,2.3,0.6,2.2,101580.0,2.0
22307,20210127,8.0,0.0,26.0,13.5,5.9,7.6,20.4,101110.0,0.0
22308,20210128,8.0,0.9,27.0,11.5,10.6,8.3,5.2,100160.0,0.0
22309,20210129,7.0,1.9,49.0,5.4,9.9,5.4,16.6,99840.0,0.0
22310,20210130,8.0,0.0,46.0,4.1,5.4,0.1,3.6,99780.0,0.0
22311,20210131,6.0,0.1,20.0,10.1,2.1,1.3,1.4,99790.0,0.0
22312,20210201,8.0,0.0,33.0,13.5,5.7,3.3,4.6,99700.0,0.0
22313,20210202,8.0,0.7,17.0,10.4,8.4,7.2,1.0,99460.0,0.0
22314,20210203,7.0,0.0,47.0,9.1,8.8,1.4,0.2,99660.0,0.0
22315,20210204,6.0,0.3,32.0,10.8,5.2,4.4,6.4,100820.0,0.0
22316,20210205,6.0,3.5,43.0,8.3,7.6,3.9,1.8,100810.0,0.0
22317,20210206,8.0,0.4,72.0,2.5,6.1,2.4,5.8,100680.0,0.0
22318,20210207,8.0,0.0,53.0,-0.5,2.5,-1.9,0.0,100460.0,0.0
22319,20210208,8.0,0.0,37.0,0.4,-1.2,-1.5,1.5,100390.0,0.0
22320,20210209,8.0,0.0,25.0,3.0,-0.6,-2.0,2.5,100700.0,0.0
22321,20210210,3.0,4.6,35.0,1.2,0.5,-3.8,0.6,101580.0,0.0
22322,20210211,5.0,2.7,86.0,2.0,-1.3,-1.5,0.0,102690.0,0.0
22323,20210212,7.0,4.5,86.0,1.8,0.2,-4.2,0.0,103020.0,0.0
22324,20210213,6.0,3.3,103.0,7.9,-1.2,-2.8,0.0,103230.0,0.0
22325,20210214,8.0,0.0,88.0,13.2,2.5,1.7,3.2,102560.0,0.0
22326,20210215,7.0,1.8,37.0,11.4,7.5,7.9,1.0,101810.0,0.0
22327,20210216,6.0,0.4,59.0,11.0,9.7,7.2,2.6,100990.0,0.0
22328,20210217,7.0,0.0,33.0,10.7,9.1,7.6,2.4,100970.0,0.0
22329,20210218,4.0,3.0,29.0,12.3,9.2,4.1,1.4,100380.0,0.0
22330,20210219,7.0,0.0,71.0,14.4,8.2,7.9,0.0,100790.0,0.0
22331,20210220,6.0,1.3,52.0,13.7,11.2,10.0,0.6,100310.0,0.0
22332,20210221,7.0,0.3,77.0,10.2,11.8,7.2,0.0,100810.0,0.0
22333,20210222,8.0,0.0,55.0,14.4,8.7,4.6,0.6,101470.0,0.0
22334,20210223,5.0,6.2,35.0,15.8,9.5,8.6,0.0,102290.0,0.0
22335,20210224,6.0,1.9,125.0,11.8,12.2,8.9,0.0,102230.0,0.0
22336,20210225,7.0,0.0,86.0,13.1,10.3,1.2,0.0,102680.0,0.0
22337,20210226,0.0,9.2,73.0,13.2,7.2,0.3,0.2,103730.0,0.0
